pc_number,attachments,text,date,act,precis
1990-0009,," PC Number Date Chapter Bill Dept 1990-00091990-01-050, , , , PMO, PrecisAppointment of Guy Y. Goulard, of Ottawa, Ontario, as Special Advisor to the Deputy Minister of Justice to hold office during pleasure, effective January 15, 1990. Attachments",1990-01-05,NA,"Appointment of Guy Y. Goulard, of Ottawa, Ontario, as Special Advisor to the Deputy Minister of Justice to hold office during pleasure, effective January 15, 1990."
1990-0367,," PC Number Date Chapter Bill Dept 1990-03671990-02-230, , PMO, , PrecisAppointment of Harry Rogers as Deputy Minister of Industry, Science and Technology, to hold office during pleasure. Attachments",1990-02-23,NA,"Appointment of Harry Rogers as Deputy Minister of Industry, Science and Technology, to hold office during pleasure."
1990-0368,," PC Number Date Chapter Bill Dept 1990-03681990-02-230, , , PMO, PrecisAppointment of Jean-Claude Lebel as Associate Deputy Minister of Industry, Science and Technology, to hold office during pleasure. Attachments",1990-02-23,NA,"Appointment of Jean-Claude Lebel as Associate Deputy Minister of Industry, Science and Technology, to hold office during pleasure."
1990-0369,," PC Number Date Chapter Bill Dept 1990-03691990-02-230, , , , PMOPrecisAppointment of Jean-Claude Mercier, of Ottawa, Ontario, as Deputy Minister of Forestry, to hold office during pleasure. Attachments",1990-02-23,NA,"Appointment of Jean-Claude Mercier, of Ottawa, Ontario, as Deputy Minister of Forestry, to hold office during pleasure."
1990-0500,," PC Number Date Chapter Bill Dept 1990-05001990-03-140, , , , , PMOPrecisAppointment of Nancy Hughes Anthony, of Ottawa, Ontario, as Special Advisor to the Minister of State (Privatization and Regulatory Affairs) and Deputy Minister of Privatization and Regulatory Affairs to hold office during pleasure. Attachments",1990-03-14,NA,"Appointment of Nancy Hughes Anthony, of Ottawa, Ontario, as Special Advisor to the Minister of State (Privatization and Regulatory Affairs) and Deputy Minister of Privatization and Regulatory Affairs to hold office during pleasure."
1990-1061,," PC Number Date Chapter Bill Dept 1990-10611990-06-010, , , PMO, PrecisAppointment of Alan G. Ross, of Kanata, Ontario, as Acting Deputy Minister of Services and Acting Deputy Minister of Supply to hold office during pleasure, effective June 1, 1990. Attachments",1990-06-01,NA,"Appointment of Alan G. Ross, of Kanata, Ontario, as Acting Deputy Minister of Services and Acting Deputy Minister of Supply to hold office during pleasure, effective June 1, 1990."
1990-1382,," PC Number Date Chapter Bill Dept 1990-13821990-06-280, , PMO, , , , PrecisAppointment of Claude Lemelin, of Ottawa, Ontario, as Special Advisor to the Deputy Minister of Justice to hold office during pleasure. Attachments",1990-06-28,NA,"Appointment of Claude Lemelin, of Ottawa, Ontario, as Special Advisor to the Deputy Minister of Justice to hold office during pleasure."
1990-1384,," PC Number Date Chapter Bill Dept 1990-13841990-06-280, , , , , PMO, PrecisAppointment of Lorette Goulet, of Hull, Quebec, as Associate Deputy Minister, Department of the Environment to hold office during pleasure. Attachments",1990-06-28,NA,"Appointment of Lorette Goulet, of Hull, Quebec, as Associate Deputy Minister, Department of the Environment to hold office during pleasure."
1990-1978,," PC Number Date Chapter Bill Dept 1990-19781990-09-120, , PMO, , PrecisAppointment of Michael A. McDermott as Acting Deputy Minister of Labour to hold office during pleasure, effective Sepember 24, 1990. Attachments",1990-09-12,NA,"Appointment of Michael A. McDermott as Acting Deputy Minister of Labour to hold office during pleasure, effective Sepember 24, 1990."
1990-2163,," PC Number Date Chapter Bill Dept 1990-21631990-10-020, PMO, , , , PrecisAppointment of Huguette Labelle as Deputy Minister of Transport to hold office during pleasure, effective October 9, 1990. Attachments",1990-10-02,NA,"Appointment of Huguette Labelle as Deputy Minister of Transport to hold office during pleasure, effective October 9, 1990."
